   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
     2654    0.95000  1.17494266410E+10   2.01490   3.63366  12.10622 -30.00000   0.28676   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00449  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6255911162
     2655    0.95000  1.17494669590E+10   2.01558   3.63361  12.10666 -30.00000   0.28681   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00449  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6260848261
     2656    0.95000  1.17495076950E+10   2.01628   3.63356  12.10711 -30.00000   0.28688   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00449  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6265836547
     2657    0.95000  1.17495483700E+10   2.01697   3.63351  12.10755 -30.00000   0.28693   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00449  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6270817362
     2658    0.95000  1.17495891190E+10   2.01767   3.63346  12.10800 -30.00000   0.28700   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00450  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6275807239
     2659    0.95000  1.17496299030E+10   2.01835   3.63342  12.10844 -30.00000   0.28706   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00450  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6280801402
     2660    0.95000  1.17496694410E+10   2.01903   3.63337  12.10887 -30.00000   0.28713   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00450  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6285642988
     2661    0.95000  1.17497093020E+10   2.01971   3.63332  12.10930 -30.00000   0.28718   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00450  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6290524126
     2662    0.95000  1.17497494200E+10   2.02040   3.63328  12.10974 -30.00000   0.28725   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00450  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6295436734
     2663    0.95000  1.17497896900E+10   2.02110   3.63323  12.11019 -30.00000   0.28731   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00450  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6300367956
     2664    0.95000  1.17498300400E+10   2.02179   3.63318  12.11063 -30.00000   0.28736   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00451  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6305308974
     2665    0.95000  1.17498704200E+10   2.02248   3.63313  12.11107 -30.00000   0.28743   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00451  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6310253666
     2666    0.95000  1.17499095640E+10   2.02316   3.63309  12.11149 -30.00000   0.28749   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00451  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6315047004
     2667    0.95000  1.17499490320E+10   2.02384   3.63305  12.11192 -30.00000   0.28756   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00451  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6319880018
     2668    0.95000  1.17499887520E+10   2.02453   3.63301  12.11235 -30.00000   0.28761   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00451  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6324743890
     2669    0.95000  1.17500286230E+10   2.02522   3.63296  12.11278 -30.00000   0.28768   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6329626252
     2670    0.95000  1.17500683980E+10   2.02591   3.63292  12.11321 -30.00000   0.28773   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6334496859
     2671    0.95000  1.17501080050E+10   2.02660   3.63288  12.11364 -30.00000   0.28779   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6339346894
     2672    0.95000  1.17501474750E+10   2.02729   3.63283  12.11407 -30.00000   0.28786   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6344180152
     2673    0.95000  1.17501868300E+10   2.02797   3.63279  12.11449 -30.00000   0.28791   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6348999329
     2674    0.95000  1.17502260890E+10   2.02866   3.63275  12.11492 -30.00000   0.28798   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6353806749
     2675    0.95000  1.17502652610E+10   2.02934   3.63271  12.11535 -30.00000   0.28802   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00452  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6358603516
     2676    0.95000  1.17503043540E+10   2.03003   3.63267  12.11578 -30.00000   0.28808   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6363390610
     2677    0.95000  1.17503433720E+10   2.03071   3.63262  12.11620 -30.00000   0.28815   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6368168519
     2678    0.95000  1.17503823180E+10   2.03139   3.63258  12.11663 -30.00000   0.28821   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6372937612
     2679    0.95000  1.17504211950E+10   2.03208   3.63254  12.11706 -30.00000   0.28827   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6377698255
     2680    0.95000  1.17504600040E+10   2.03276   3.63249  12.11748 -30.00000   0.28833   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6382450571
     2681    0.95000  1.17504987460E+10   2.03344   3.63245  12.11791 -30.00000   0.28839   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6387194683
     2682    0.95000  1.17505374220E+10   2.03412   3.63241  12.11833 -30.00000   0.28846   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00453  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6391930713
     2683    0.95000  1.17505760330E+10   2.03480   3.63237  12.11876 -30.00000   0.28851   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6396658784
     2684    0.95000  1.17506145790E+10   2.03548   3.63232  12.11919 -30.00000   0.28857   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6401378895
     2685    0.95000  1.17506530610E+10   2.03616   3.63228  12.11961 -30.00000   0.28863   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6406091169
     2686    0.95000  1.17506914790E+10   2.03684   3.63224  12.12004 -30.00000   0.28869   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99550     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6410795606
     2687    0.95000  1.17507298320E+10   2.03752   3.63219  12.12047 -30.00000   0.28876   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6415492083
     2688    0.95000  1.17507681220E+10   2.03820   3.63215  12.12089 -30.00000   0.28881   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6420180846
     2689    0.95000  1.17508063480E+10   2.03888   3.63211  12.12131 -30.00000   0.28887   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6424861772
     2690    0.95000  1.17508445100E+10   2.03956   3.63207  12.12174 -30.00000   0.28893   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6429534860
     2691    0.95000  1.17508826080E+10   2.04024   3.63203  12.12216 -30.00000   0.28899   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6434200112
     2692    0.95000  1.17509194850E+10   2.04090   3.63198  12.12257 -30.00000   0.28905   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6438715847
     2693    0.95000  1.17509566240E+10   2.04156   3.63194  12.12300 -30.00000   0.28911   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00454  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6443263666
     2694    0.95000  1.17509939710E+10   2.04223   3.63189  12.12343 -30.00000   0.28917   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6447836954
     2695    0.95000  1.17510316970E+10   2.04290   3.63184  12.12386 -30.00000   0.28923   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6452456653
     2696    0.95000  1.17510686360E+10   2.04356   3.63180  12.12428 -30.00000   0.28929   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6456979980
     2697    0.95000  1.17511052270E+10   2.04421   3.63175  12.12470 -30.00000   0.28935   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6461460694
     2698    0.95000  1.17511431310E+10   2.04490   3.63170  12.12514 -30.00000   0.28941   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00455  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6466102190
     2699    0.95000  1.17511804020E+10   2.04556   3.63165  12.12557 -30.00000   0.28947   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6470666172
     2700    0.95000  1.17512171670E+10   2.04622   3.63161  12.12599 -30.00000   0.28953   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6475168192
     2701    0.95000  1.17512535740E+10   2.04688   3.63156  12.12641 -30.00000   0.28959   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6479626374
     2702    0.95000  1.17512897240E+10   2.04753   3.63152  12.12682 -30.00000   0.28965   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6484053085
     2703    0.95000  1.17513272220E+10   2.04821   3.63147  12.12726 -30.00000   0.28971   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6488644865
     2704    0.95000  1.17513641240E+10   2.04887   3.63142  12.12768 -30.00000   0.28977   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6493163661
     2705    0.95000  1.17514005460E+10   2.04953   3.63138  12.12811 -30.00000   0.28983   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6497623680
     2706    0.95000  1.17514366280E+10   2.05018   3.63133  12.12852 -30.00000   0.28989   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6502042065
     2707    0.95000  1.17514724650E+10   2.05083   3.63128  12.12894 -30.00000   0.28995   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00456  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6506430448
     2708    0.95000  1.17515081170E+10   2.05148   3.63124  12.12936 -30.00000   0.29001   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00457  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6510796177
     2709    0.95000  1.17515436260E+10   2.05212   3.63119  12.12977 -30.00000   0.29007   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00457  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6515144395
     2710    0.95000  1.17515805400E+10   2.05280   3.63114  12.13020 -30.00000   0.29013   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00457  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6519664661
     2711    0.95000  1.17516169190E+10   2.05346   3.63110  12.13063 -30.00000   0.29019   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6524119415
     2712    0.95000  1.17516528590E+10   2.05411   3.63105  12.13105 -30.00000   0.29025   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00457  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6528520410
     2713    0.95000  1.17516892440E+10   2.05477   3.63100  12.13147 -30.00000   0.29031   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6532975898
     2714    0.95000  1.17517248400E+10   2.05542   3.63096  12.13189 -30.00000   0.29038   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6537334770
     2715    0.95000  1.17517609850E+10   2.05608   3.63091  12.13231 -30.00000   0.29044   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6541760869
     2716    0.95000  1.17517963850E+10   2.05673   3.63086  12.13273 -30.00000   0.29049   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6546095740
     2717    0.95000  1.17518323580E+10   2.05739   3.63082  12.13315 -30.00000   0.29056   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6550500777
     2718    0.95000  1.17518676080E+10   2.05804   3.63077  12.13356 -30.00000   0.29061   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00458  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6554817280
     2719    0.95000  1.17519034420E+10   2.05870   3.63073  12.13398 -30.00000   0.29067   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6559205295
     2720    0.95000  1.17519385610E+10   2.05934   3.63069  12.13438 -30.00000   0.29074   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6563505757
     2721    0.95000  1.17519742670E+10   2.06000   3.63065  12.13480 -30.00000   0.29079   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6567878098
     2722    0.95000  1.17520092670E+10   2.06065   3.63060  12.13521 -30.00000   0.29085   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6572163988
     2723    0.95000  1.17520448560E+10   2.06131   3.63056  12.13563 -30.00000   0.29090   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6576522002
     2724    0.95000  1.17520797390E+10   2.06195   3.63051  12.13604 -30.00000   0.29097   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6580793564
     2725    0.95000  1.17521152110E+10   2.06260   3.63047  12.13645 -30.00000   0.29103   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6585137252
     2726    0.95000  1.17521499830E+10   2.06325   3.63043  12.13687 -30.00000   0.29108   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6589395222
     2727    0.95000  1.17521853420E+10   2.06389   3.63037  12.13730 -30.00000   0.29115   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00459  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6593725072
     2728    0.95000  1.17522200010E+10   2.06454   3.63032  12.13771 -30.00000   0.29120   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6597969204
     2729    0.95000  1.17522552470E+10   2.06519   3.63028  12.13814 -30.00000   0.29126   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6602285217
     2730    0.95000  1.17522897980E+10   2.06584   3.63023  12.13855 -30.00000   0.29133   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6606516124
     2731    0.95000  1.17523238200E+10   2.06647   3.63019  12.13895 -30.00000   0.29138   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6610682254
     2732    0.95000  1.17523585730E+10   2.06712   3.63014  12.13937 -30.00000   0.29142   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6614937897
     2733    0.95000  1.17523927440E+10   2.06776   3.63010  12.13978 -30.00000   0.29148   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00460  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6619122272
     2734    0.95000  1.17524275660E+10   2.06841   3.63005  12.14020 -30.00000   0.29153   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6623386364
     2735    0.95000  1.17524617440E+10   2.06905   3.63001  12.14061 -30.00000   0.29159   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6627571596
     2736    0.95000  1.17524965340E+10   2.06970   3.62996  12.14102 -30.00000   0.29166   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6631831770
     2737    0.95000  1.17525306580E+10   2.07034   3.62991  12.14143 -30.00000   0.29172   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6636010389
     2738    0.95000  1.17525642730E+10   2.07097   3.62987  12.14184 -30.00000   0.29177   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6640126680
     2739    0.95000  1.17525986250E+10   2.07162   3.62982  12.14225 -30.00000   0.29183   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6644333219
     2740    0.95000  1.17526324760E+10   2.07226   3.62978  12.14266 -30.00000   0.29189   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00461  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6648478408
     2741    0.95000  1.17526663580E+10   2.07289   3.62973  12.14307 -30.00000   0.29196   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00462  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6652627394
     2742    0.95000  1.17527002770E+10   2.07353   3.62969  12.14349 -30.00000   0.29201   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00462  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6656780911
     2743    0.95000  1.17527342020E+10   2.07418   3.62964  12.14390 -30.00000   0.29207   0.00000  0.00000E+00  9.89910E-01  2.10900E-05  7.32700E-04     0.99540     0.00000     0.00000     0.00000     0.00462  7.08500E-01  2.81600E-01  1.53100E-03  6.95800E-04  4.32600E-03  10.6660935162
