   MODELL       MASS                AGE     LOG_L    LOG_TE     LOG_R   LOG_RAT M_CORE_HE  M_CORE_C        H_CEN       HE_CEN        C_cen        O_cen          LX          LY          LC      LNEUTR      L_GRAV        H_SUP       HE_SUP        C_SUP        N_SUP        O_SUP          PHASE
       21    0.95000  1.35843780000E-02   2.49700   3.57418  12.46623 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99610  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000012
       22    0.95000  1.70200780000E-02   2.49700   3.57418  12.46622 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99612  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000015
       23    0.95000  2.13146780000E-02   2.49700   3.57418  12.46622 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99614  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000019
       24    0.95000  2.66829780000E-02   2.49700   3.57419  12.46622 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99618  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000024
       25    0.95000  3.33932780000E-02   2.49699   3.57419  12.46622 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99621  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000030
       26    0.95000  4.17811780000E-02   2.49699   3.57419  12.46621 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99626  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000037
       27    0.95000  5.22661780000E-02   2.49698   3.57419  12.46621 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99631  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000047
       28    0.95000  6.53721780000E-02   2.49697   3.57419  12.46620 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99637  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000059
       29    0.95000  8.17551780000E-02   2.49696   3.57419  12.46620 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99644  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000073
       30    0.95000  1.02233178000E-01   2.49695   3.57419  12.46619 -30.00000   0.00000   0.00000  7.22970E-01  2.66980E-01  1.77400E-03  4.40100E-03     0.00000     0.00000     0.00000     0.00000     0.99651  7.23000E-01  2.67000E-01  1.77400E-03  4.84500E-04  4.40100E-03   1.0000000092
